UNIQUE ID,TASK TYPE,XP OVERRIDE,TIME,COMMUNITY
194393955,2,NONE,1/2/22 20:05,0
891729879,3,NONE,1/2/22 20:05,2
947942643,3,NONE,1/2/22 20:04,0
859394870,10,1575,1/2/22 20:04,4
118750730,6,NONE,1/2/22 20:04,2
230528088,1,NONE,1/2/22 20:04,4
162568394,8,NONE,1/2/22 20:04,4
599218630,3,NONE,1/2/22 20:04,3
316568035,3,NONE,1/2/22 20:04,3
336141283,2,NONE,1/2/22 20:04,3
614635876,3,NONE,1/2/22 20:04,4
250240550,10,525,1/2/22 20:04,0
389985347,8,NONE,1/2/22 20:04,4
577820709,7,NONE,1/2/22 20:04,1
474769345,2,NONE,1/2/22 20:04,3
435637069,2,NONE,1/2/22 20:04,1
496385130,7,NONE,1/2/22 20:04,4
656249138,5,NONE,1/2/22 20:04,0
612758833,1,NONE,1/2/22 20:03,4
713932174,7,NONE,1/2/22 20:03,3
749684166,1,NONE,1/2/22 20:03,4
419969807,5,NONE,1/2/22 20:03,4
194034142,8,NONE,1/2/22 20:03,4
648095953,2,NONE,1/2/22 20:03,4
877793611,8,NONE,1/2/22 20:03,0
686305779,2,NONE,1/2/22 20:03,0
843710935,1,NONE,1/2/22 20:03,2
266100140,1,NONE,1/2/22 20:03,3
495896081,3,NONE,1/2/22 20:03,3
951721776,7,NONE,1/2/22 20:03,2
454157369,8,NONE,1/2/22 20:03,2
841546974,7,NONE,1/2/22 20:03,1
945721366,1,NONE,1/2/22 20:03,4
597607100,7,NONE,1/2/22 20:03,3
729055081,7,NONE,1/2/22 20:03,1
281691200,2,NONE,1/2/22 20:03,2
447976531,1,NONE,1/2/22 20:03,0
417838698,3,NONE,1/2/22 20:03,0
454157369,7,NONE,1/2/22 20:03,2
517447527,2,NONE,1/2/22 20:02,3
934882538,3,NONE,1/2/22 20:02,3
427399446,4,NONE,1/2/22 20:02,4
444842507,2,NONE,1/2/22 20:02,0
708266234,3,NONE,1/2/22 20:02,2
944707683,3,NONE,1/2/22 20:02,0
669526523,7,NONE,1/2/22 20:02,4
688642539,2,NONE,1/2/22 20:02,3
930858927,1,NONE,1/2/22 20:02,4
941815981,6,NONE,1/2/22 20:02,2
482090276,7,NONE,1/2/22 20:02,2
686305779,1,NONE,1/2/22 20:02,0
777131923,2,NONE,1/2/22 20:02,0
453121828,4,NONE,1/2/22 20:02,0
194393955,3,NONE,1/2/22 20:02,0
143038372,7,NONE,1/2/22 20:02,2
614635876,3,NONE,1/2/22 20:01,4
196337033,8,NONE,1/2/22 20:01,1
403611107,7,NONE,1/2/22 20:01,4
223234635,1,NONE,1/2/22 20:01,4
179953859,7,NONE,1/2/22 20:01,0
967666424,3,NONE,1/2/22 20:01,3
782794495,8,NONE,1/2/22 20:01,1
374028620,7,NONE,1/2/22 20:01,2
336709484,6,NONE,1/2/22 20:01,4
789101386,1,NONE,1/2/22 20:01,3
904695399,3,NONE,1/2/22 20:01,1
431028998,2,NONE,1/2/22 20:01,0
984782042,3,NONE,1/2/22 20:01,4
447176227,1,NONE,1/2/22 20:01,3
772520450,1,NONE,1/2/22 20:01,2
626728418,7,NONE,1/2/22 20:01,0
468879505,3,NONE,1/2/22 20:01,0
210716614,2,NONE,1/2/22 20:01,4
210742582,7,NONE,1/2/22 20:01,3
854758285,1,NONE,1/2/22 20:01,0
526170110,2,NONE,1/2/22 20:01,1
322316483,1,NONE,1/2/22 20:01,1
376659053,3,NONE,1/2/22 20:00,2
230528088,7,NONE,1/2/22 20:00,4
922021588,3,NONE,1/2/22 20:00,1
555737776,2,NONE,1/2/22 20:00,3
243614947,1,NONE,1/2/22 20:00,4
526170110,8,NONE,1/2/22 20:00,1
515552522,7,NONE,1/2/22 20:00,3
740435111,2,NONE,1/2/22 20:00,1
484136123,8,NONE,1/2/22 20:00,3
526170110,8,NONE,1/2/22 20:00,1
822660105,3,NONE,1/2/22 20:00,0
853711321,3,NONE,1/2/22 20:00,3
115480599,2,NONE,1/2/22 20:00,4
922021588,3,NONE,1/2/22 20:00,1
387307179,7,NONE,1/2/22 20:00,0
289615889,8,NONE,1/2/22 20:00,2
577820709,7,NONE,1/2/22 20:00,1
250240550,8,NONE,1/2/22 20:00,0
710509457,-5,NONE,1/2/22 20:00,4
697206024,4,NONE,1/2/22 20:00,1
468879505,5,NONE,1/2/22 20:00,0
523274289,4,NONE,1/2/22 20:00,3
623333434,1,NONE,1/2/22 19:59,3
583082102,4,NONE,1/2/22 19:59,4
815759101,8,NONE,1/2/22 19:59,4
855856519,7,NONE,1/2/22 19:59,3
759089644,7,NONE,1/2/22 19:59,2
903926643,3,NONE,1/2/22 19:59,1
803419372,6,NONE,1/2/22 19:59,3
476794349,1,NONE,1/2/22 19:59,0
858891789,1,NONE,1/2/22 19:59,1
198345490,7,NONE,1/2/22 19:59,2
969294628,1,NONE,1/2/22 19:59,3
243514347,2,NONE,1/2/22 19:59,4
976778407,7,NONE,1/2/22 19:59,2
917958572,3,NONE,1/2/22 19:59,0
917552483,8,NONE,1/2/22 19:59,3
234652857,8,NONE,1/2/22 19:59,4
123738817,7,NONE,1/2/22 19:59,3
690277955,6,NONE,1/2/22 19:59,1
290123483,3,NONE,1/2/22 19:59,1
152822011,7,NONE,1/2/22 19:59,4
519548647,8,NONE,1/2/22 19:59,0
275370887,8,NONE,1/2/22 19:59,4
917552483,7,NONE,1/2/22 19:58,3
676793668,7,NONE,1/2/22 19:58,3
324691533,8,NONE,1/2/22 19:58,4
484599977,2,NONE,1/2/22 19:58,0
686461596,2,NONE,1/2/22 19:58,2
225526426,3,NONE,1/2/22 19:58,1
196689930,1,NONE,1/2/22 19:58,2
266100140,21,2065,1/2/22 19:58,3
386458608,7,NONE,1/2/22 19:58,2
917552483,3,NONE,1/2/22 19:58,3
179953859,1,NONE,1/2/22 19:58,0
555737776,8,NONE,1/2/22 19:58,3
342201387,7,NONE,1/2/22 19:58,3
269953845,7,NONE,1/2/22 19:58,4
341348094,7,NONE,1/2/22 19:58,2
435012912,7,NONE,1/2/22 19:58,3
355055679,1,NONE,1/2/22 19:58,0
629923972,7,NONE,1/2/22 19:58,4
777131923,2,NONE,1/2/22 19:57,0
